,PMU_EXAMPLE_FAKE_092be9f8_f19f_11ec_ad61_30d042e819fe
pmc25,"0.7851759613930136,0.4271077886262563,0.24398964337908358,0.7378969166957685,0.5495288823237355,0.4686931597949703,0.3689136395697724,0.8418287767582721,0.9198556164127605,0.022469308320117398,0.47421421665746377,0.5508573706091393,0.6385259476640855,0.33689579177110685,0.9651186964360455,0.25677656772050794,0.6900048908206657,0.06229179813006269,0.5303021332491583,0.09299063982313216,0.26015779096205116,0.6679199988036271,0.46876796546450583,0.9550605114849889,0.9000831830164807,0.278759872414553,0.9640784164901082,0.3029157288331926,0.848042089601484,0.90194019674915,0.3739210470128136,0.6067317247174364,0.8908555349831467,0.7517469923958404,0.6195262000363033,0.14727556355209093,0.2632473465180112,0.9286305621153941,0.08468834187530683,0.025769598764351143,0.8243504472493495,0.6763610678727241,0.7302217177572492,0.9505328209544089,0.3931471294940152,0.42967336335514794,0.6825404787671571,0.0002270382182555375,0.15987976336644139,0.25706269218920874,0.5275879732721657,0.610363007818157,0.05739184368827355,0.5785418182035315,0.57654498995114,0.034376858351725215,0.8437287927102575,0.6434289495173308,0.36121605897581177,0.7175613826485358,0.2626954770019353,0.7867230147335408,0.6282065970930439,0.19333923361205219,0.1569026241461201,0.9985608065856286,0.1716781950432169,0.089652231235679,0.8111045663053181,0.03955750656261314,0.4933415880523805,0.48199491773286707,0.9720534746234882,0.19378913002335485,0.3677085081275432,0.6126843446746072,0.6506065232521034,0.13972056697895407,0.8567299465058974,0.26066638256210173,0.406082132559771,0.00024293443451273156,0.5513173906628142,0.8253084024229824,0.30926811149969535,0.022504327428686466,0.6044889822584595,0.7244223402693151,0.3018346608928951,0.5943317339265958,0.3819580190452688,0.9617624783454688,0.9273664094615535,0.9423009379012067,0.7771859094396096,0.4606849734821338,0.3302941754681341,0.9661780248345367,0.791640072183063,0.091850337229201"
pmc26,"0.19967378215835974,0.8180147659224931,0.9730105547524456,0.5543540525114007,0.441530501373377,0.4148195023376652,0.4625347161331479,0.1397723766262895,0.34634599436596125,0.2686773593849461,0.8620426509893134,0.08698675991141014,0.3975943979627943,0.18211791568869928,0.004939980934409616,0.28487290196192283,0.20093368865905648,0.5094221281497897,0.041951223431636264,0.5882022669483905,0.7308209649807298,0.6346712732539415,0.3012652607600004,0.8211982825502265,0.11613896020052561,0.21070496386720317,0.08928952452557293,0.06569485895436578,0.7288614422699469,0.8066935196947392,0.9444485826943034,0.6728716685980798,0.24153684170168177,0.8030020719578371,0.5633953507126401,0.9730767979122983,0.0006533907612995549,0.06180846068922263,0.4666931208844084,0.603528806501121,0.39699216220747413,0.6796331823951436,0.3648224702077987,0.022066148682290843,0.23692399389672347,0.7498599312882688,0.33161684910783396,0.9150015377475272,0.6912466637859893,0.46503633422090995,0.2589042747931396,0.5464070742121321,0.5833072481842045,0.08257215803527718,0.9833407684142266,0.6389630219732846,0.43804407590538375,0.19718298196806627,0.6373021565380239,0.7768213672402811,0.8747660625539935,0.5097260752881797,0.12137192454861967,0.9507447132126717,0.947565126324043,0.024817211445149145,0.8078314518266223,0.33735907835727963,0.1972426661670168,0.4030387579071322,0.04006908634826667,0.0704606776669583,0.859324951070476,0.21456482009284983,0.10061997722259008,0.5853754227909563,0.889687412571665,0.09612585173215149,0.9440947859303646,0.8533464976087238,0.8262173757752201,0.12693605767417637,0.35954314452000347,0.12594064104750058,0.11687876059093905,0.4441130051754064,0.2770254488696243,0.40381100524749924,0.6502969740735076,0.5936105444464144,0.5643010646698302,0.415786062069183,0.40261143834016266,0.7550682041316251,0.28540529030284156,0.8908241315106276,0.5953557225103119,0.821031947096431,0.47570407818905625,0.44501868372535525"
pmc27,"0.5142344384136116,0.8607305832563434,0.3930977246667604,0.6117207462343522,0.8877041827582998,0.27340707193070624,0.7474709381337565,0.7952673118598902,0.3469532018962277,0.5416342146608669,0.8445493985350704,0.4084532130706987,0.27421520234867003,0.7896985071424791,0.951811785423239,0.3072899649262866,0.5358276844730813,0.9966968538529768,0.9684887775943838,0.48097288988612374,0.9812970904972467,0.165954895295785,0.5983574842977588,0.0015651051914729042,0.9559188289553192,0.9574480190380962,0.6870192665032427,0.2282353634936991,0.09539927731321063,0.9848584027624758,0.6417343972985582,0.08114917853623915,0.35427132721721566,0.5180080664046248,0.6246140481145316,0.7592925069184736,0.8706690341255177,0.09236052811137851,0.4821320989198419,0.6595059816513271,0.15631697070886086,0.9459246440320865,0.6409655280987577,0.9825212722560387,0.09696567096542474,0.913041466889856,0.5005793174308313,0.843879411230929,0.1675665393045065,0.22697853947152102,0.052826686364721986,0.2497441792293552,0.8843434279712875,0.15452082999051897,0.241601276435763,0.08144721289115919,0.34239512329585964,0.0976100381089916,0.07069660818436618,0.6734197289114326,0.12890258507349894,0.30006708290543993,0.9859341686249178,0.40869956227093396,0.7668488978177731,0.8352440601588657,0.6928784276966522,0.08970091901484578,0.2135374778839514,0.6491539648308727,0.9843219788140413,0.2781436404489108,0.1100177211275436,0.7381507548416897,0.3096318100028458,0.5476161006537471,0.4404345706560461,0.4245726071859556,0.33594615337893385,0.8634914504628183,0.22763253581939236,0.9336153778350941,0.1258023363460513,0.9030975070493097,0.9858584404109375,0.7813562183952003,0.8623349164397316,0.2147445024083574,0.32900572966223285,0.16418496405635874,0.11453286832634824,0.6010826653932156,0.8903025571135202,0.20802456273324887,0.8442095857762321,0.09446242580108688,0.872204528998895,0.2044834611958235,0.5366232797354938,0.9995051897085165"
pmc28,"0.5924145688620425,0.006952130531190703,0.8920465551771133,0.4196000624277899,0.3509150125520787,0.056375496650927115,0.0366832028905979,0.20162732004774453,0.7375012481097484,0.6334782198261473,0.31910047324325563,0.372688517012314,0.9839776479598282,0.6587077755008761,0.6391199378155004,0.8030258978326634,0.09667644964671962,0.8139702695060188,0.7987141916545746,0.6423255259052274,0.2565300624442478,0.881927758304644,0.2972378077086172,0.636401370183407,0.3139667173773528,0.0088632851134689,0.49381404045692867,0.24660363497802462,0.4287020209864336,0.7542482596820808,0.6714791486672069,0.9514907101767872,0.10534548448133318,0.140324518193515,0.8644332468683641,0.967761465269562,0.7925948132091347,0.16279098920622936,0.8409087104029072,0.6880455570741288,0.7379509473975921,0.29582409749653604,0.46618159112755697,0.08613213906368034,0.1790316374415838,0.5721229637222063,0.6457250433510536,0.7422922314869471,0.31030848210454753,0.7439051873021519,0.7260848514838505,0.34327548906444827,0.15174291295305242,0.4395629417728987,0.6812821105324338,0.4350145943402234,0.5464763610253764,0.16684857820557764,0.3615401877629566,0.6144994602551925,0.7199968026274463,0.15126428446267592,0.7806820746878623,0.46668315583086417,0.26828720042777265,0.3653668415506528,0.5558708141989593,0.9615437228811096,0.6760930341645768,0.6980705464034016,0.3834811225750425,0.32450664916894734,0.9474279980597932,0.18913869632674007,0.6637343606939384,0.6404832931422122,0.9011776232173556,0.9336789061329351,0.5606944813756801,0.7725225917625445,0.5244363458577493,0.8673546391153578,0.589331644947728,0.8642306022615571,0.30863264852395067,0.6800460563742698,0.28346114926407917,0.3559683908322365,0.39145427079447115,0.12346357373073602,0.9969905028125511,0.7098047132723719,0.38394889426297263,0.3377107747242245,0.43239636018509,0.9888757121375433,0.04758319254611243,0.18616503574607024,0.7711360481708222,0.8352292908460148"
pmc29,"0.046450412719997725,0.5107473025775657,0.6311386259972629,0.24773098950115746,0.11706701642760586,0.8647223762550532,0.25243694434402075,0.1636559428657045,0.45221794088980716,0.2578876854332023,0.8289154741506773,0.2597537837603262,0.409334006315043,0.498195716453139,0.8679182945200221,0.5391612766752545,0.45037093625818514,0.6152194382310109,0.29282203670096474,0.06485359448296835,0.6541746014740745,0.42748968792061515,0.2999191115069847,0.051135381442100725,0.8884036723086812,0.9978208556819782,0.38764880545564706,0.4840770697102016,0.029169763645264468,0.39319520102792227,0.6322821536376398,0.8384918338430248,0.22236130474817029,0.6711574733796887,0.5869365065589071,0.43974048650790853,0.627328935090678,0.5952128341268748,0.22123869644606398,0.12038757878908901,0.3604745051415539,0.0011120941961874076,0.1899361364575609,0.8143867792687614,0.7975140452964858,0.18078515056237954,0.5105704087285036,0.16781459564602863,0.503345130606154,0.9192080310537252,0.12130299800553412,0.8520484158046929,0.597808013401514,0.5104601313464413,0.7159846935417241,0.2926550976674078,0.09135324272355583,0.9237313958767761,0.5347994662811925,0.8924690939520117,0.10116561961310322,0.28467473884646366,0.39023854958399506,0.05270978985343899,0.5908045335179158,0.8416154597578153,0.6995278704025719,0.8072616493262504,0.4050010985875484,0.6381399025162693,0.1522282139168668,0.9451224487448869,0.423358027350786,0.5734917638909767,0.665784401468871,0.2594491710680763,0.7506690142816549,0.5423865601904387,0.09505653683256443,0.16883360665257008,0.8060967479607475,0.23360903203623684,0.5251408517696297,0.46458276443924607,0.13032394670232816,0.635156988863935,0.6867557202819089,0.284104149227433,0.2621129720167965,0.9800519429764848,0.42555587769671754,0.9505920130759383,0.7368168318297001,0.8096742580880733,0.8286671435335939,0.9490693936454213,0.3854704346997354,0.12566114557958274,0.6612653062650915,0.8934590541671159"
pmc30,"0.6075448519014384,0.417411003148779,0.7948113035416484,0.3559726786512616,0.14299168205283586,0.8129010091300776,0.7133495858845524,0.16426579793099294,0.22460482293998196,0.13935607407282413,0.03700763471549262,0.7234201136885849,0.8940992036791344,0.5553635509376312,0.4547398556338591,0.31130769915600365,0.7561633288952461,0.30625362078661167,0.9799703293588506,0.5799837874281313,0.19809763275974013,0.16223340578247936,0.7431931987316034,0.25760722033372185,0.6029428764794615,0.6768212988573956,0.6327118787486009,0.747444406596694,0.480890146603009,0.5906378339946378,0.1989921389594368,0.8050903184956627,0.5192245707802051,0.6204737850519706,0.5809503798881793,0.2783684816626566,0.7502657639388423,0.15047227100599747,0.3809912736683999,0.9385297834731304,0.6712708252291325,0.2719545593981987,0.7017382738772572,0.2803347525514125,0.6775458051837758,0.26879761503019817,0.11995294173096982,0.12036357620998606,0.7964405615234773,0.4237701199309234,0.3027751282719672,0.5592181317684581,0.6647392049108463,0.258792408364524,0.6073244167930659,0.5454279502117131,0.7566465493523988,0.8214712527761908,0.9962244930446387,0.07862671098975804,0.6231378537478254,0.3759712219291391,0.5785639322793544,0.03756622954398059,0.721449157109572,0.554620491211145,0.4120177389516564,0.4596327543564602,0.9315444071065202,0.32056322436092455,0.6667088553964567,0.28266736054115904,0.009310290762353679,0.2152438205009537,0.28622430723999437,0.08464875358462898,0.48860492587798476,0.5274564637217322,0.200469047766359,0.8218014592542003,0.3534774751283788,0.7783719045454912,0.20299355919119721,0.7443682043039906,0.19908231282795774,0.9095554284372025,0.6742196324473969,0.17608928794385392,0.3430440057930102,0.39371916965303755,0.34823063970736867,0.24461627405226605,0.47594221754772414,0.695677663215339,0.822888068293502,0.07827448072987586,0.1582407418152627,0.13837856254191838,0.4093449208823926,0.8232263592464995"
pmc31,"0.17052412368729153,0.22210781047073025,0.5026370931051921,0.7578461104643691,0.7615106317174722,0.9997176732861306,0.8952068376871993,0.8145747202313821,0.4524395161326934,0.8349302367992991,0.596269878482053,0.4958757350787708,0.22995460589108618,0.7192017782722638,0.5155960285792502,0.6103337833109184,0.3475715242389821,0.6238958362916385,0.6018815896363221,0.5614845879595237,0.5653302545716099,0.01260751997575904,0.04814283597835345,0.059524700347771686,0.8267073597414875,0.8284692994491171,0.7038570916343312,0.4738098283979466,0.6624340117010681,0.6610142542473203,0.41833386410228013,0.8229838050417675,0.6077526830956526,0.7422531871990872,0.9906791570657658,0.7982931972091867,0.1520485674244918,0.9680763814507335,0.8084057388936909,0.1811832790500828,0.27064394198176567,0.217891379626744,0.556464637348822,0.13217965775387175,0.5469288759854769,0.19864457689740578,0.31206404465202064,0.06760474947238315,0.7394692332387273,0.34213260011189495,0.5324709078838974,0.5147421937567799,0.41933468041928834,0.3164571308744162,0.08857833963664408,0.13341633552320709,0.5824350768882959,0.3540645623550941,0.47453356262244073,0.3309147657801952,0.3560672991191448,0.756310096980294,0.9113418162164088,0.7171814470467577,0.941278928906798,0.9016312294863601,0.13839758596812457,0.2236025483236711,0.08900973489600883,0.09352012359790951,0.28428828909545933,0.460868735269652,0.4423937407481936,0.8616249500839784,0.46010262655768797,0.11927167203974343,0.6032221356579637,0.14112611829932187,0.4134657667101601,0.7692505592415867,0.6422096370026974,0.6085715931739742,0.45186904465227784,0.6194450738181533,0.5877032283414765,0.01803200982523001,0.22149354885964,0.7433329135656567,0.4107004005865431,0.22742172872352928,0.7102098483162649,0.7461309782386423,0.12258315650718299,0.7657842927157243,0.1888701867628544,0.9334133204495549,0.6953542507318696,0.7481617990286962,0.895412711194219,0.10304169343098268"
pmc32,"0.06505159298527952,0.1198653673336828,0.5769038846263591,0.014393488629755868,0.6182180633162611,0.9966368370739054,0.5116774421156661,0.6651972206962001,0.14085702037979986,0.9844021807035521,0.23000883728770305,0.08104621590764793,0.2131047040250833,0.22845474133129873,0.4888465802569202,0.7161506742231936,0.664911724487218,0.5270414639116516,0.5824226582072465,0.5606600944161709,0.4639324866883362,0.5597556836383826,0.9028949951919872,0.6037954529493877,0.9840131632104643,0.29461939634619316,0.004363269650309087,0.057844449447160606,0.11850262359815156,0.07845581631712395,0.7509397983633183,0.9327105081327614,0.24535231416621106,0.1698810060507353,0.756730167068568,0.3262539180411468,0.45832359458757543,0.44671452725852034,0.8236236107489735,0.6227534032398411,0.08122963480667267,0.6618345851139982,0.3586215819535914,0.4398556397138349,0.47508987286676807,0.24685702759573291,0.8023960305536325,0.7240291887729212,0.6455343564105223,0.9615507321375663,0.5644165877797477,0.09957971354002892,0.70109758736427,0.08696702025593306,0.6768722758275765,0.6916434019733182,0.18659009687316752,0.6558207673273928,0.8160567571143236,0.24828747963084596,0.788913962965867,0.5396617889031524,0.5540992803958261,0.5380946641211113,0.8816353491754106,0.9261929864146267,0.6657652402653673,0.9334551052498522,0.511525640809493,0.4271124464193341,0.5857782709310476,0.6713044235642798,0.04606916967546759,0.9421854544896385,0.19344722801193748,0.22458238265390107,0.32558113251901144,0.0007895110932187865,0.20620271590177885,0.5967229901062171,0.24563157404881453,0.9709047114498695,0.7969475040156458,0.8030756423377449,0.06404352386478851,0.5570475861922342,0.03479919986835012,0.2520698868501715,0.7204160690923429,0.17132454445437495,0.3638994064953325,0.5208155861440822,0.9279342012370215,0.4412011022129324,0.7011411313835769,0.3631325902594622,0.10572456043113487,0.46965425695162355,0.1625670686634786,0.22744825406479963"
pmc33,"0.9488855372533332,0.33761517140362796,0.4925176938188639,0.11607264050691624,0.10112267612279024,0.5554317056026274,0.5321134852653157,0.5230654247691193,0.1763869865062233,0.5256901823026858,0.12056688577727881,0.22018320194981134,0.03113408288451136,0.9963339160567419,0.6668642575461043,0.27262400073353377,0.7954499607897292,0.4260833838903715,0.7480731794295321,0.6034876665964548,0.9720053296315371,0.5273996221226763,0.8522638743911815,0.6865899134926068,0.2884054378187457,0.014315277667059978,0.16695308874719872,0.9577898009882039,0.28888493890916567,0.5444969591038651,0.10137289755315915,0.5442539661136977,0.05773215922511721,0.19497519990028922,0.4422938054511353,0.2993833737053483,0.3512193873487809,0.5015179603501664,0.3846110759787682,0.22267607912308496,0.9925817954877634,0.633711599765529,0.9113391900786307,0.6439565794476135,0.9224342836561245,0.3064154493510364,0.8614180460955174,0.9288079606878853,0.15577326058017016,0.44485243282754083,0.600583196987136,0.01602815645512312,0.41073154349101204,0.3032197838442505,0.06409471103617548,0.7950115369284704,0.1882321997690456,0.5372756736680381,0.43206728506661773,0.9880139620654216,0.2336904488253636,0.07748362655548269,0.17449848639795518,0.5087059842162667,0.5151922261382137,0.009098181280775997,0.5246723066856223,0.34459659572697177,0.9185215304431212,0.12875443736805547,0.5867679078445912,0.1621833724078774,0.5438779211611176,0.5184929749422404,0.21037208152983577,0.5001979355227852,0.9835972997387742,0.8101400907454612,0.8765604907887176,0.33720203516895275,0.10927944536815992,0.3736056595340591,0.5904261031078913,0.43180510078591205,0.8624341301411569,0.7873488484097071,0.4092495737853973,0.4541674701677638,0.5115361942347918,0.6676017135832351,0.8332743050287577,0.26855714062064107,0.4540965933775366,0.7164762626421669,0.2906429693065311,0.8447091670758625,0.6648077585802445,0.7829341727398672,0.9955164485903247,0.003121651356409627"
pmc34,"0.9656320330745594,0.9429097039125192,0.1952429877980445,0.04600264202175275,0.08410680611499743,0.7689874151805105,0.10717201133977605,0.3588304841235025,0.49836777273947974,0.1716792858483035,0.07695320162920916,0.6832587636595959,0.651666825375885,0.9747931621467831,0.1396512547563129,0.4135491015253515,0.9271778194794527,0.13071037674019947,0.8117697880901376,0.6764679372263622,0.6085272726964666,0.7193536223691586,0.6678046832264065,0.11448763806590512,0.961135485407593,0.73786951856153,0.7130460506343187,0.9427243190941123,0.3978366255021569,0.7093208284726096,0.27785277608971226,0.2002820178676259,0.39103286912739865,0.8904095172193285,0.7073970000329277,0.2325059922078312,0.09377652625701649,0.2466586158054065,0.4591240232866809,0.3072164170212709,0.15620150793059928,0.5934613827047238,0.020934117826733267,0.380951845023475,0.0727349477786684,0.5551337867531885,0.13730003271557023,0.430535820913037,0.5470453456155777,0.4890484004492832,0.16625533034970064,0.9636851886870491,0.5046372879774349,0.9665584393805441,0.5961426495498969,0.1633544497431565,0.18424865157267423,0.6771242634825639,0.7963907226197089,0.3893897796668735,0.6392018293899598,0.01802900895891224,0.3787033555811593,0.24312453042266868,0.7746526197930176,0.07541217599278827,0.6393748005427755,0.16098443168737475,0.9041136604795051,0.9476236585206671,0.44572982090286917,0.4864423871418745,0.3385540274370513,0.3523088842091783,0.023047088406607408,0.8404427505460201,0.667351163050396,0.08757456298623822,0.15828625605909807,0.2625086042665441,0.7943842250928563,0.6814606125171713,0.09691732706699485,0.78580848424435,0.9614996792371473,0.5413353827012672,0.2891931519658697,0.38585944683610907,0.9435652171569769,0.6094452973272788,0.45427072436042526,0.7766068397963906,0.7344870403224036,0.3864937228639137,0.2974926699926682,0.4183833377132715,0.2861808707979073,0.7462548943502054,0.1188525784762372,0.30351012487811146"
pmc35,"0.8083973481164611,0.32320293202075523,0.7224521152615053,0.040728802318970136,0.70096913145912,0.944765729882428,0.44741236682345464,0.8772005408131083,0.4189254495045479,0.27230732651936895,0.6962887758781398,0.07613085949030018,0.36852634372376114,0.6503256863469369,0.029973589872677953,0.12188609333694755,0.23464208185545354,0.8866042152404667,0.6564786073315027,0.8049889996807698,0.3495063720868188,0.8902580530178021,0.5932215701073843,0.3838388830449795,0.38948189490242036,0.8341445970006758,0.6663854135782065,0.7851895431484084,0.9195310246560497,0.16732130400106038,0.2763191084658536,0.6167836078525412,0.23420337092633414,0.7499777984520708,0.3892304716917885,0.12967897822423535,0.4861304852149241,0.4709602524347335,0.3032858908492829,0.5464585417281244,0.988420993963481,0.0162434432094537,0.315773151249496,0.05456540828269896,0.28060081323791597,0.5879916294638328,0.9523867523987246,0.11914067199604816,0.08744650179988545,0.35164987234190537,0.37973740482164875,0.37698616728684164,0.00735304455442698,0.9447073816724817,0.7395811772217427,0.10431308735188216,0.057002387551933986,0.6826711524627593,0.5954148016201084,0.7326126992403987,0.23568253457588495,0.10233217953406315,0.8431448650297454,0.7447507316299222,0.562144753827585,0.2503587295708555,0.33799878102849,0.5631643884539549,0.15652921341574122,0.47517086602262826,0.8361186155450426,0.7385390394759076,0.47343493359404876,0.23405777501749914,0.8967465499077446,0.7012933420883841,0.043846852496629896,0.633849818735324,0.45566082155309195,0.12188921208035897,0.09896862340870682,0.06353572242391858,0.5480214972291351,0.46245681706514796,0.24674742066738087,0.32389555258037916,0.8089777496137086,0.9820773786356308,0.04188039383877551,0.6435521229874175,0.7195584132654349,0.5522222801738466,0.36717381443129216,0.21126291693819643,0.29634807688058074,0.44085511270251587,0.1989168137372247,0.6046127135052216,0.014949971104238902,0.10860740234649258"
pmc36,"0.3046137691733707,0.5187906217433661,0.2807723624408558,0.8554605840110072,0.07276300636419353,0.8496473906774115,0.5326172664550232,0.3924451074226354,0.9148459010681,0.018390676547466733,0.33987496376806614,0.8512069140487687,0.864358249839637,0.19954245092914513,0.3079299415911909,0.18114934953468032,0.39931591580930814,0.4497846488213225,0.12809574636620003,0.26982072012821434,0.11409578488793337,0.07940658464302952,0.8923024981396522,0.456236508955542,0.3855119047369223,0.7404761319535191,0.9660475051286772,0.9913279015642206,0.993255015422964,0.7806317174255571,0.432018927594506,0.742881493667939,0.21955392322980194,0.9082284887003229,0.228875462483499,0.25646306101676597,0.9207396503426354,0.6619136326370115,0.9325548784193121,0.4171934185645765,0.9772799325664473,0.7287780544506475,0.05688139777764656,0.5994611396587166,0.34993785357071405,0.4264997472418611,0.32882261784860933,0.5123928207321066,0.37736317679665077,0.9095484730121384,0.6171942271169667,0.6032130620995043,0.6917201141346888,0.334878290136985,0.21096989061995042,0.14551548278735915,0.5877984493716848,0.6287340150599929,0.8865954415023983,0.6847251638810046,0.7136602831121538,0.41049871369737934,0.6442130159896179,0.16823657910849188,0.5527038900455401,0.6693154163635017,0.9068665773398359,0.9437741203448161,0.36663770009645646,0.31725917435686757,0.26496706155544303,0.866855213027066,0.613170360743117,0.049781001523043766,0.2107066650749062,0.7890406042020471,0.32662190574800876,0.9146164545151915,0.6056992404598757,0.5097570669008714,0.2713813950795846,0.39624734681640594,0.7027382992895869,0.9409657878427938,0.45009526859085935,0.13625056509197786,0.8003641884553453,0.3910922441482205,0.5030683226320282,0.08800602751145226,0.10745321644188655,0.6609738206496758,0.01888087857623466,0.63267703484136,0.7255682475599482,0.6342430909775426,0.9363525578249854,0.6863666065786795,0.8900189011487647,0.472793345301583"
pmc37,"0.09767211400638387,0.7030189588951778,0.02431596643145384,0.7036578593800237,0.8218600592903562,0.24734810174319766,0.24247050363472966,0.8165994394715771,0.3623938991166331,0.914298806560499,0.7247667715287615,0.4951465270139743,0.47320990669155716,0.6802282424312913,0.7046807627366467,0.6811178539649828,0.15241601333041743,0.19462251182076507,0.3382675059944984,0.8250494101800621,0.15124682873493456,0.7314964903403623,0.18533017952871444,0.3690530217609166,0.3403871042545057,0.1428502873008386,0.761037790250783,0.5444823328002629,0.044911298995615856,0.5837727805141116,0.9803687409421851,0.7379173933540254,0.9598628027134553,0.7587153211639207,0.5968518768877594,0.3553197484738877,0.04005911905069448,0.7511771369540428,0.11864376574158031,0.1602256009765063,0.7938181039080396,0.3235304124854915,0.7665273162216272,0.9024032761106747,0.7824258122127878,0.6154207798208354,0.66231373873072,0.34883190745863013,0.41351653028995916,0.5689554832818507,0.9698188646337847,0.07971507318728499,0.6613426789447244,0.5708539362787616,0.841622007542774,0.8771275618985017,0.8403481775885081,0.2661013685373086,0.4109425523501099,0.21208123747737773,0.8736780345607488,0.9331929170490183,0.6507243843338003,0.18993474366102003,0.1147419583381919,0.888272196511506,0.5873698685755769,0.003830290500322575,0.6191214000466962,0.7663040711189001,0.44863259161773417,0.6262592746624267,0.8688010958178203,0.2685000761974954,0.22753387693646332,0.3509756239260914,0.6233144337590575,0.208651913158431,0.6918639081608444,0.5852608755098465,0.8551094219974401,0.9638176611881805,0.7927034057807514,0.4863721008251476,0.02213445102949707,0.8875630718161913,0.4570239521926255,0.0799824827967548,0.5842247888317181,0.893534583498437,0.8461191855551118,0.322901068577901,0.10053035869183591,0.9760139255987942,0.22982604179253607,0.7744774192759833,0.018524576745955867,0.01835572437914179,0.24495350836595609,0.6771274885739019"
pmc38,"0.6842330265121569,0.363629602379294,0.6454722959071678,0.4741738290873252,0.7062422271564962,0.4505441353100935,0.26924323094938096,0.4391349085702184,0.5805883502780435,0.11775108289014113,0.06535634079894237,0.480586577326648,0.9681934279147217,0.07219840897917584,0.20185345212294836,0.18143834769562694,0.9924835021583752,0.3677593508772896,0.9280836403260497,0.4982556822634536,0.2253169299512351,0.18741194409758222,0.07896916219082861,0.12102500048519305,0.5414076073475852,0.7534279222569691,0.950772707731338,0.9627683502532061,0.761007923495392,0.9522217856975946,0.06750254668382194,0.5214490241668801,0.6163004859257241,0.5971553059903019,0.9281820981139515,0.6739942081457304,0.2914609134937939,0.753868082709913,0.93374942300147,0.1709364024208483,0.6594229620819976,0.6650559890066311,0.7021074541137926,0.3832153659472517,0.9925146201619713,0.08157492561136592,0.7518251459566812,0.3748249243499977,0.03981143944575383,0.7621745871816447,0.7276311376996887,0.6831142857230466,0.03840087732634456,0.9095953911109443,0.030353805533004263,0.5281892617563562,0.0174982139873886,0.03900642076281813,0.6043044198214789,0.23899768021155132,0.12680179912676004,0.6374024812092216,0.8668214856884892,0.46071217134827547,0.12613765801615207,0.45994195129396276,0.08540248429087383,0.23812484325399874,0.15939488477140218,0.49794859258226387,0.5376921285909715,0.6690535153169479,0.6619015764719286,0.6542357799453179,0.2796014326451318,0.40465374164855017,0.0563332777992398,0.6652728362369108,0.38306936972650674,0.3593389905157872,0.3464692870786672,0.5389808744501206,0.6291175786342668,0.46261927193372954,0.6407102247272215,0.470762392387603,0.6065122253232189,0.08982575257208403,0.9201969860742739,0.3892663968090483,0.7357179867781098,0.481273951827605,0.4962194794899244,0.3106009713953296,0.0009058352460902253,0.033789150948248636,0.43777727188956894,0.31177764680502196,0.7296996274467209,0.8745052950380771"
pmc39,"0.4401524937396013,0.9717820827209607,0.17711067940704894,0.09783416065100148,0.08134878064189976,0.12915941515149498,0.37728416310462265,0.3769444294249076,0.6322642879195304,0.5765164755142536,0.31529033783061033,0.5924077846595176,0.18552551570312115,0.030652502205806065,0.6734324333249173,0.5251633836670602,0.9270009679242953,0.41412975252892703,0.22461561184385193,0.07705827913433116,0.250966661340298,0.858177053157164,0.2395101699095381,0.4189477901874754,0.1541450431784871,0.768922782107641,0.702540501534807,0.07560504061675077,0.37172406640234323,0.042422298206891695,0.518700994380595,0.06845871933357806,0.5568784431720959,0.6541327370278737,0.9291395200154627,0.06256484221945158,0.20754093620570346,0.5778911126940883,0.6838664518353432,0.41814478816279965,0.5778070502510847,0.5565784285021533,0.33135221873631704,0.21633277763082703,0.24067051475715306,0.08778823705815997,0.8119462346378834,0.6213306241557073,0.2739880994699718,0.8118067183508864,0.9226037570939578,0.9325667087059609,0.3682501073951331,0.0061838226408966745,0.8438128636583061,0.4672609960075026,0.04900464497127355,0.4555667819901088,0.6300186806188274,0.2812845635530341,0.8665956885955035,0.8018258998755151,0.8939730574625047,0.2862798621119409,0.5295336150224574,0.6069731162742654,0.44980399070442867,0.9384476404104076,0.9680221720457387,0.31003402401245006,0.6636247207672996,0.12628347258456896,0.4340488684781807,0.5336169313092108,0.127408071695429,0.3936818859906128,0.023884191319142767,0.07869857670750946,0.8690990687247285,0.47535906768086855,0.9730453495141611,0.2878795033348446,0.15265816454078374,0.7850718615635127,0.41392605805258886,0.8781151969857014,0.6042595159869252,0.5907537213530648,0.049158523621427586,0.31336940643035793,0.21171677846196568,0.6173542509880671,0.6899643571263624,0.46096959221253964,0.7152368534826331,0.5931559955271343,0.02162699246179378,0.6378221792594102,0.8110153749320693,0.7492171650908982"
